"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GENE_1",95.8191158645752,-0.644834906626837,0.383190987711051,-1.68280290326943,0.0924132528272167,0.902373510003027
"GENE_2",96.2329634210478,0.671036362083174,0.375039386709172,1.78924237257122,0.073575790361083,0.902373510003027
"GENE_3",97.9101131089203,-0.0815855265178172,0.439314237536118,-0.18571109139414,0.852671329957691,0.98174239914331
"GENE_4",102.793451169672,0.217747935877762,0.410888599104156,0.529943971072718,0.596150778207623,0.98174239914331
"GENE_5",123.482697547637,0.199991065446103,0.388734287366984,0.514467264518144,0.606925341717812,0.98174239914331
"GENE_6",110.827427747235,0.370081971406914,0.33087183473156,1.11850551349336,0.263351153069601,0.973433783594715
"GENE_7",97.8945066581475,-0.391363485926472,0.37171781759621,-1.0528510267743,0.292409274282715,0.973433783594715
"GENE_8",120.137461435213,0.455342572345474,0.328614073136727,1.38564538030609,0.165855214013514,0.925437516564023
"GENE_9",89.780253618902,-0.326524993952101,0.370019090778165,-0.882454451918701,0.377531100624513,0.973433783594715
"GENE_10",87.7455623714972,0.384335950523113,0.422175842847019,0.910369356833102,0.362627752559917,0.973433783594715
"GENE_11",88.2766779085686,0.140881758101437,0.411740435564149,0.342161580288821,0.732229296611047,0.98174239914331
"GENE_12",82.4346156237385,-0.23186613592162,0.410985215054851,-0.564171477289455,0.572637437209122,0.98174239914331
"GENE_13",98.067273008154,0.0558185544007481,0.35594699992459,0.15681703852701,0.875389044191007,0.982876494434584
"GENE_14",78.1511732608088,-0.531989819695463,0.345940816053476,-1.53780587605837,0.124096086436079,0.925437516564023
"GENE_15",90.8836659440849,-0.290934770035208,0.342931995741946,-0.848374528033639,0.396229423721849,0.973433783594715
"GENE_16",77.9065115206528,-0.165398930064151,0.401400703459826,-0.412054410065838,0.680299543243328,0.98174239914331
"GENE_17",88.8134435431323,0.0690624592228834,0.398873868454383,0.173143604243861,0.862538551277108,0.98174239914331
"GENE_18",88.2554315493846,0.339330425026,0.338271689190059,1.00312983873548,0.315798219484868,0.973433783594715
"GENE_19",101.115007909798,0.0152958849101786,0.360095825341687,0.0424772625332845,0.966118237257229,0.99334332734839
"GENE_20",88.0537502407133,-0.136402265290457,0.412135281690507,-0.330964785958044,0.740671084692387,0.98174239914331
"GENE_21",90.116230870463,-0.194628046621524,0.333811411020615,-0.583047913270718,0.559861046203428,0.98174239914331
"GENE_22",103.30549058111,-0.339731303453672,0.32924026361548,-1.0318643890118,0.302135650348715,0.973433783594715
"GENE_23",95.6594520387409,0.498769305010203,0.398968900975431,1.25014582287184,0.211246283360148,0.973433783594715
"GENE_24",93.2911379872409,0.379901154446216,0.345830544878036,1.09851821961011,0.271978266275236,0.973433783594715
"GENE_25",100.81332576163,0.3611610709942,0.348139155417829,1.03740434068883,0.299547456229715,0.973433783594715
